access,across,adjustment,administrative,affecting,agriculture,authority,central,change,citizen,comprehensive,department,development,digital,documentation,education,employment,environment,expands,funding,governance,government,guideline,handling,health,improves,infrastructure,initiative,internal,introduced,introduces,largescale,launch,legislation,local,made,major,management,million,minor,modernize,modifies,multiple,national,nationwide,new,office,operation,policy,procedural,procedure,program,public,record,reform,regulation,related,revised,routine,rule,safety,sector,service,significantly,small,social,state,transport,update,urban,welfare,policy_area,public_sentiment,impact_label
0.0,0.0,0.3704455428846638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3704455428846638,0.0,0.3704455428846638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3704455428846638,0.0,0.29181582529681327,0.29808792664195954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739486741266389,0.0,0.0,0.0,0.3704455428846638,0.0,0.0,0.0,0.0,0.0,0.0,public safety,Negative,Low Impact
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36289874434668884,0.0,0.0,0.0,0.0,0.0,0.36038454243739726,0.0,0.0,0.0,0.0,0.0,0.0,0.36038454243739726,0.2859518664082448,0.0,0.0,0.0,0.0,0.0,0.36289874434668884,0.0,0.0,0.36289874434668884,0.36289874434668884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36289874434668884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,digital governance,Neutral,High Impact
0.0,0.0,0.3629789884167291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36018950570499036,0.0,0.0,0.0,0.0,0.0,0.0,0.36018950570499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3629789884167291,0.0,0.3629789884167291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3629789884167291,0.0,0.2859341004494385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3629789884167291,0.0,0.0,0.0,0.0,0.0,0.0,digital governance,Negative,Low Impact
0.0,0.0,0.0,0.0,0.0,0.38787062645030596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3882803953190372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3882803953190372,0.0,0.3094318183243413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3882803953190372,0.0,0.0,0.3882803953190372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3882803953190372,0.0,0.0,agriculture,Neutral,Low Impact
0.0,0.0,0.0,0.0,0.0,0.0,0.37006931435520835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37006931435520835,0.37006931435520835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2910611725633019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2992800657684556,0.37006931435520835,0.0,0.0,0.0,0.37006931435520835,0.0,0.0,0.37544420214332086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public safety,Negative,Low Impact
0.3205360669633856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40093818746405524,0.0,0.0,0.0,0.0,0.0,0.0,0.4032134826412484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205360669633856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32701719845230487,0.0,0.3174045814504408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205360669633856,0.40093818746405524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,environment,Neutral,High Impact
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36969023392111994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36969023392111994,0.0,0.2946167838450085,0.0,0.0,0.0,0.2988381411109107,0.0,0.0,0.0,0.36969023392111994,0.0,0.0,0.36969023392111994,0.37488981155925916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36969023392111994,0.0,0.0,public safety,Neutral,Low Impact
0.0,0.0,0.0,0.3464152105517424,0.0,0.0,0.0,0.0,0.3464152105517424,0.0,0.0,0.3464152105517424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3464152105517424,0.0,0.0,0.0,0.0,0.274298816181268,0.0,0.0,0.0,0.0,0.3464152105517424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3464152105517424,0.0,0.2820443792759251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3538221854982597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public safety,Negative,Low Impact
0.0,0.0,0.388654178662585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388654178662585,0.0,0.388654178662585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388654178662585,0.0,0.30615954781993054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388654178662585,0.0,0.0,0.38859487685667315,0.0,0.0,0.0,transport,Neutral,Low Impact
0.25923186818190774,0.3317796089687194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25923186818190774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317796089687194,0.3317796089687194,0.0,0.3317796089687194,0.0,0.0,0.26073752426922797,0.0,0.0,0.0,0.2644734493859257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317796089687194,0.0,0.25923186818190774,0.0,0.0,0.0,0.3317796089687194,0.0,0.0,0.0,0.0,public safety,Positive,High Impact
